DD/MM/YYYY HH:MM:SS, O, H, L, C
2/01/2013 0:00,1.32278,1.32365,1.31734,1.31864
3/01/2013 0:00,1.31864,1.32951,1.31582,1.31859
4/01/2013 0:00,1.31859,1.31903,1.30239,1.30318
7/01/2013 0:00,1.30318,1.30909,1.29989,1.30692
8/01/2013 0:00,1.30692,1.31299,1.30179,1.31222
9/01/2013 0:00,1.31222,1.31411,1.30576,1.30833
10/01/2013 0:00,1.30833,1.30973,1.30379,1.30552
11/01/2013 0:00,1.30552,1.32813,1.30402,1.32732
14/01/2013 0:00,1.32732,1.33714,1.32497,1.33573
15/01/2013 0:00,1.33573,1.34054,1.33375,1.33813
16/01/2013 0:00,1.33813,1.33948,1.32645,1.33102
17/01/2013 0:00,1.33102,1.3326,1.32574,1.32855
18/01/2013 0:00,1.32855,1.33883,1.3271,1.33761
21/01/2013 0:00,1.33761,1.33996,1.32818,1.33188
22/01/2013 0:00,1.33188,1.33336,1.33013,1.33082
23/01/2013 0:00,1.33082,1.33729,1.3268,1.33145
24/01/2013 0:00,1.33145,1.33558,1.32657,1.33072
25/01/2013 0:00,1.33072,1.33939,1.32873,1.33707
28/01/2013 0:00,1.33707,1.34805,1.33509,1.34622
29/01/2013 0:00,1.34622,1.34784,1.3426,1.34483
30/01/2013 0:00,1.34483,1.34984,1.34156,1.34894
31/01/2013 0:00,1.34894,1.35891,1.34834,1.35692
1/02/2013 0:00,1.35692,1.36194,1.35425,1.36084
4/02/2013 0:00,1.36084,1.37122,1.35875,1.3645
5/02/2013 0:00,1.3645,1.36505,1.35001,1.35124
6/02/2013 0:00,1.35124,1.35986,1.34597,1.35795
7/02/2013 0:00,1.35795,1.35972,1.34948,1.35236
8/02/2013 0:00,1.35236,1.35786,1.3372,1.33867
11/02/2013 0:00,1.33867,1.34306,1.33546,1.33674
12/02/2013 0:00,1.33674,1.34288,1.33585,1.34033
13/02/2013 0:00,1.34033,1.34768,1.33652,1.34522
14/02/2013 0:00,1.34522,1.35212,1.34276,1.34471
15/02/2013 0:00,1.34471,1.34571,1.33166,1.33525
18/02/2013 0:00,1.33525,1.33947,1.33077,1.33429
19/02/2013 0:00,1.33429,1.33808,1.33228,1.33505
20/02/2013 0:00,1.33505,1.33975,1.33303,1.3396
21/02/2013 0:00,1.3396,1.34354,1.32721,1.32742
22/02/2013 0:00,1.32742,1.32906,1.3162,1.31924
25/02/2013 0:00,1.31924,1.32474,1.31463,1.31937
26/02/2013 0:00,1.31937,1.33201,1.30492,1.30695
27/02/2013 0:00,1.30695,1.31244,1.30196,1.30702
28/02/2013 0:00,1.30702,1.31632,1.30427,1.31547
1/03/2013 0:00,1.31547,1.31595,1.30545,1.30613
4/03/2013 0:00,1.30613,1.31023,1.29678,1.30163
5/03/2013 0:00,1.30163,1.30423,1.29836,1.30349
6/03/2013 0:00,1.30349,1.30766,1.30116,1.30492
7/03/2013 0:00,1.30492,1.30717,1.29678,1.29803
8/03/2013 0:00,1.29803,1.31196,1.29763,1.3108
11/03/2013 0:00,1.3108,1.31357,1.29567,1.29858
12/03/2013 0:00,1.29858,1.3055,1.29852,1.30318
13/03/2013 0:00,1.30318,1.30759,1.29924,1.30307
14/03/2013 0:00,1.30307,1.3066,1.29246,1.29607
15/03/2013 0:00,1.29607,1.30338,1.29128,1.30134
18/03/2013 0:00,1.30134,1.31084,1.28895,1.2892
19/03/2013 0:00,1.2892,1.29971,1.28833,1.29445
20/03/2013 0:00,1.29445,1.29708,1.2845,1.28653
21/03/2013 0:00,1.28653,1.29801,1.28648,1.29382
22/03/2013 0:00,1.29382,1.29565,1.2881,1.29073
25/03/2013 0:00,1.29073,1.30509,1.28895,1.30224
26/03/2013 0:00,1.30224,1.30492,1.28309,1.28609
27/03/2013 0:00,1.28609,1.28911,1.28297,1.28641
28/03/2013 0:00,1.28641,1.28683,1.27518,1.27783
29/03/2013 0:00,1.27783,1.28457,1.27564,1.28171
1/04/2013 0:00,1.28171,1.28387,1.27945,1.28072
2/04/2013 0:00,1.28072,1.28693,1.27727,1.28481
3/04/2013 0:00,1.28481,1.28788,1.28104,1.28207
4/04/2013 0:00,1.28207,1.28656,1.2791,1.28512
5/04/2013 0:00,1.28512,1.29502,1.27464,1.29271
8/04/2013 0:00,1.29271,1.30409,1.29018,1.29947
9/04/2013 0:00,1.29947,1.30392,1.29697,1.30322
10/04/2013 0:00,1.30322,1.31044,1.30063,1.30808
11/04/2013 0:00,1.30808,1.31232,1.30525,1.30578
12/04/2013 0:00,1.30578,1.31395,1.30451,1.31147
15/04/2013 0:00,1.31147,1.31287,1.30378,1.3098
16/04/2013 0:00,1.3098,1.31089,1.30231,1.30556
17/04/2013 0:00,1.30556,1.32029,1.30295,1.31782
18/04/2013 0:00,1.31782,1.32009,1.30024,1.30331
19/04/2013 0:00,1.30331,1.30974,1.30223,1.30535
22/04/2013 0:00,1.30535,1.31301,1.30488,1.30577
23/04/2013 0:00,1.30577,1.30853,1.30165,1.3062
24/04/2013 0:00,1.3062,1.30853,1.29742,1.29939
25/04/2013 0:00,1.29939,1.30355,1.29559,1.30167
26/04/2013 0:00,1.30167,1.30947,1.299,1.30056
29/04/2013 0:00,1.30056,1.30706,1.29919,1.30404
30/04/2013 0:00,1.30404,1.31177,1.30333,1.30936
1/05/2013 0:00,1.30936,1.31871,1.30556,1.3169
2/05/2013 0:00,1.3169,1.32438,1.3162,1.31819
3/05/2013 0:00,1.31819,1.32198,1.30385,1.30674
6/05/2013 0:00,1.30674,1.31607,1.30344,1.3121
7/05/2013 0:00,1.3121,1.31426,1.30548,1.30725
8/05/2013 0:00,1.30725,1.31333,1.30691,1.30779
9/05/2013 0:00,1.30779,1.31955,1.30732,1.31615
10/05/2013 0:00,1.31615,1.31783,1.3011,1.30342
13/05/2013 0:00,1.30342,1.30523,1.29366,1.29706
14/05/2013 0:00,1.29706,1.30011,1.29427,1.29845
15/05/2013 0:00,1.29845,1.30302,1.29137,1.29366
16/05/2013 0:00,1.29366,1.2944,1.28445,1.28816
17/05/2013 0:00,1.28816,1.2931,1.28476,1.28812
20/05/2013 0:00,1.28812,1.28902,1.27976,1.28292
21/05/2013 0:00,1.28292,1.29053,1.28207,1.28909
22/05/2013 0:00,1.28909,1.29348,1.28423,1.2921
23/05/2013 0:00,1.2921,1.29993,1.28348,1.28427
24/05/2013 0:00,1.28427,1.29582,1.28228,1.29241
27/05/2013 0:00,1.29241,1.29946,1.29056,1.29331
28/05/2013 0:00,1.29331,1.29499,1.29166,1.29331
29/05/2013 0:00,1.29331,1.2951,1.28426,1.28477
30/05/2013 0:00,1.28477,1.29787,1.28391,1.29484
31/05/2013 0:00,1.29484,1.30627,1.29348,1.30444
3/06/2013 0:00,1.30444,1.30499,1.29455,1.29963
4/06/2013 0:00,1.29963,1.31089,1.29566,1.30708
5/06/2013 0:00,1.30708,1.31026,1.30435,1.30718
6/06/2013 0:00,1.30718,1.31176,1.30543,1.30907
7/06/2013 0:00,1.30907,1.33077,1.30761,1.32424
10/06/2013 0:00,1.32424,1.32868,1.31903,1.32034
11/06/2013 0:00,1.32034,1.32705,1.31789,1.32545
12/06/2013 0:00,1.32545,1.33187,1.32331,1.33169
13/06/2013 0:00,1.33169,1.33606,1.32668,1.33475
14/06/2013 0:00,1.33475,1.33916,1.32798,1.33604
17/06/2013 0:00,1.33604,1.33746,1.3296,1.33551
18/06/2013 0:00,1.33551,1.33829,1.33197,1.33636
19/06/2013 0:00,1.33636,1.34171,1.33272,1.33945
20/06/2013 0:00,1.33945,1.34215,1.32637,1.32852
21/06/2013 0:00,1.32852,1.33017,1.31627,1.32343
24/06/2013 0:00,1.32343,1.32553,1.3095,1.31078
25/06/2013 0:00,1.31078,1.31452,1.30602,1.31366
26/06/2013 0:00,1.31366,1.31519,1.30662,1.3076
27/06/2013 0:00,1.3076,1.30885,1.29858,1.30191
28/06/2013 0:00,1.30191,1.30585,1.30011,1.30384
1/07/2013 0:00,1.30384,1.31045,1.29925,1.30101
2/07/2013 0:00,1.30101,1.30728,1.30101,1.3069
3/07/2013 0:00,1.3069,1.30793,1.29648,1.29772
4/07/2013 0:00,1.29772,1.30338,1.29243,1.30187
5/07/2013 0:00,1.30187,1.30194,1.28842,1.28959
8/07/2013 0:00,1.28959,1.2907,1.28073,1.28162
9/07/2013 0:00,1.28162,1.28831,1.2813,1.28602
